State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,14.0
Alaska,14.0,3.0
Arkansas,74.0,8.0
Arizona,69.0,12.0
California,388.0,75.0
Colorado,75.0,21.0
Connecticut,44.0,13.0
Delaware,8.0,0.0
District of Columbia,8.0,3.0
Unnamed: 6,272.0,66.0
Georgia,180.0,38.0
Hawaii,18.0,3.0
Iowa,60.0,12.0
Idaho,36.0,3.0
Illinois,172.0,38.0
Indiana,115.0,11.0
Kansas,60.0,0.0
Kentucky,99.0,12.0
Louisiana,112.0,28.0
Massachusetts,69.0,22.0
Maine,15.0,3.0
Maryland,69.0,18.0
Michigan,134.0,22.0
Minnesota,74.0,9.0
Missouri,117.0,14.0
Mississippi,77.0,13.0
Montana,36.0,4.0
North Carolina,150.0,30.0
North Dakota,47.0,7.0
Nebraska,60.0,5.0
New Hampshire,18.0,4.0
New Jersey,97.0,22.0
New Mexico,35.0,3.0
Nevada,44.0,9.0
New York,236.0,53.0
Ohio,202.0,37.0
Oklahoma,91.0,20.0
Oregon,44.0,6.0
Pennsylvania,173.0,35.0
Rhode Island,6.0,0.0
South Carolina,117.0,24.0
South Dakota,21.0,0.0
Tennessee,112.0,16.0
Texas,527.0,124.0
Utah,42.0,12.0
Virginia,106.0,25.0
Vermont,9.0,2.0
Washington,70.0,9.0
Wisconsin,104.0,10.0
West Virginia,35.0,6.0
Wyoming,34.0,4.0
