State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,20.0
Alaska,35.0,2.0
Arkansas,68.0,13.0
Arizona,77.0,15.0
California,376.0,55.0
Colorado,81.0,12.0
Connecticut,28.0,8.0
Delaware,12.0,3.0
District of Columbia,5.0,0.0
Unnamed: 7,309.0,76.0
Georgia,171.0,35.0
Hawaii,29.0,4.0
Iowa,76.0,13.0
Idaho,30.0,6.0
Illinois,171.0,39.0
Indiana,137.0,14.0
Kansas,74.0,13.0
Kentucky,92.0,9.0
Louisiana,95.0,16.0
Massachusetts,109.0,29.0
Maine,18.0,0.0
Maryland,92.0,20.0
Michigan,162.0,40.0
Minnesota,92.0,15.0
Missouri,124.0,15.0
Mississippi,71.0,9.0
Montana,38.0,10.0
North Carolina,174.0,30.0
North Dakota,28.0,0.0
Nebraska,50.0,6.0
New Hampshire,22.0,5.0
New Jersey,101.0,20.0
New Mexico,41.0,9.0
Nevada,54.0,5.0
New York,272.0,71.0
Ohio,164.0,23.0
Oklahoma,92.0,18.0
Oregon,72.0,9.0
Pennsylvania,163.0,39.0
Rhode Island,9.0,0.0
South Carolina,96.0,25.0
South Dakota,31.0,11.0
Tennessee,122.0,28.0
Texas,545.0,133.0
Utah,44.0,11.0
Virginia,153.0,24.0
Vermont,10.0,4.0
Washington,78.0,14.0
Wisconsin,105.0,12.0
West Virginia,47.0,6.0
Wyoming,34.0,3.0
