State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,8.0
Alaska,39.0,3.0
Arkansas,93.0,14.0
Arizona,69.0,9.0
California,390.0,56.0
Colorado,92.0,17.0
Connecticut,37.0,7.0
Delaware,10.0,0.0
District of Columbia,9.0,4.0
Unnamed: 2,226.0,41.0
Georgia,111.0,24.0
Hawaii,26.0,3.0
Iowa,78.0,11.0
Idaho,37.0,0.0
Illinois,177.0,21.0
Indiana,125.0,19.0
Kansas,78.0,7.0
Kentucky,93.0,9.0
Louisiana,111.0,22.0
Massachusetts,68.0,16.0
Maine,26.0,0.0
Maryland,71.0,13.0
Michigan,141.0,23.0
Minnesota,60.0,16.0
Missouri,132.0,18.0
Mississippi,63.0,9.0
Montana,49.0,5.0
North Carolina,148.0,32.0
North Dakota,44.0,9.0
Nebraska,39.0,4.0
New Hampshire,9.0,0.0
New Jersey,99.0,21.0
New Mexico,52.0,10.0
Nevada,38.0,0.0
New York,206.0,30.0
Ohio,155.0,23.0
Oklahoma,86.0,15.0
Oregon,58.0,6.0
Pennsylvania,186.0,30.0
Rhode Island,7.0,4.0
South Carolina,81.0,13.0
South Dakota,31.0,4.0
Tennessee,120.0,18.0
Texas,433.0,83.0
Utah,39.0,6.0
Virginia,127.0,16.0
Vermont,8.0,0.0
Washington,60.0,6.0
Wisconsin,89.0,7.0
West Virginia,43.0,7.0
Wyoming,32.0,0.0
