State,Total_Fatalities,Construction_Fatalities
Alabama,92.0,11.0
Alaska,30.0,0.0
Arkansas,67.0,15.0
Arizona,88.0,17.0
California,344.0,49.0
Colorado,84.0,13.0
Connecticut,35.0,7.0
Delaware,12.0,4.0
District of Columbia,11.0,3.0
Unnamed: 5,228.0,63.0
Georgia,152.0,32.0
Hawaii,31.0,8.0
Iowa,91.0,20.0
Idaho,34.0,6.0
Illinois,164.0,28.0
Indiana,130.0,18.0
Kansas,73.0,2.0
Kentucky,82.0,13.0
Louisiana,120.0,19.0
Massachusetts,55.0,10.0
Maine,19.0,3.0
Maryland,74.0,16.0
Michigan,143.0,23.0
Minnesota,62.0,7.0
Missouri,106.0,11.0
Mississippi,75.0,12.0
Montana,28.0,3.0
North Carolina,137.0,35.0
North Dakota,38.0,10.0
Nebraska,55.0,9.0
New Hampshire,17.0,1.0
New Jersey,87.0,23.0
New Mexico,53.0,9.0
Nevada,40.0,6.0
New York,241.0,50.0
Ohio,185.0,38.0
Oklahoma,98.0,20.0
Oregon,69.0,6.0
Pennsylvania,179.0,40.0
Rhode Island,10.0,3.0
South Carolina,64.0,15.0
South Dakota,29.0,6.0
Tennessee,127.0,21.0
Texas,531.0,107.0
Utah,54.0,6.0
Virginia,116.0,24.0
Vermont,10.0,4.0
Washington,88.0,17.0
Wisconsin,99.0,14.0
West Virginia,38.0,5.0
Wyoming,37.0,6.0
